iter	Passed	Remaining
0	138	138745
1	140	70284
2	143	47582
3	145	36251
4	147	29383
5	149	24782
6	152	21661
7	154	19169
8	156	17230
9	158	15693
10	160	14430
11	162	13370
12	165	12528
13	166	11760
14	168	11087
15	170	10508
16	172	10002
17	174	9532
18	176	9092
19	177	8702
20	179	8366
21	180	8041
22	182	7747
23	184	7483
24	185	7231
25	186	6993
26	188	6792
27	190	6603
28	191	6427
29	193	6251
30	195	6104
31	196	5950
32	198	5815
33	200	5684
34	201	5555
35	202	5433
36	204	5328
37	206	5223
38	207	5119
39	209	5020
40	210	4928
41	212	4847
42	214	4774
43	215	4691
44	217	4612
45	218	4537
46	221	4482
47	222	4414
48	224	4348
49	225	4281
50	227	4233
51	229	4187
52	231	4130
53	232	4072
54	233	4019
55	235	3970
56	237	3923
57	238	3878
58	240	3835
59	242	3791
60	243	3752
61	245	3713
62	247	3682
63	248	3639
64	250	3600
65	251	3562
66	253	3526
67	255	3503
68	257	3478
69	259	3442
70	260	3406
71	262	3378
72	263	3350
73	265	3322
74	266	3290
75	268	3265
76	270	3237
77	271	3212
78	273	3189
79	275	3163
80	276	3135
81	277	3111
82	278	3080
83	280	3054
84	281	3034
85	283	3010
86	284	2987
87	286	2971
88	288	2952
89	289	2931
90	291	2913
91	292	2891
92	294	2875
93	296	2859
94	297	2838
95	299	2818
96	300	2799
97	302	2782
98	303	2764
99	305	2747
100	306	2730
101	308	2713
102	309	2697
103	311	2684
104	313	2670
105	315	2658
106	316	2642
107	318	2632
108	320	2618
109	321	2604
110	323	2588
111	324	2573
112	326	2562
113	328	2549
114	329	2538
115	330	2521
116	332	2507
117	333	2494
118	335	2481
119	337	2471
120	338	2457
121	339	2444
122	341	2433
123	342	2422
124	345	2415
125	346	2405
126	348	2392
127	349	2380
128	351	2370
129	353	2363
130	354	2352
131	355	2340
132	357	2329
133	359	2320
134	360	2310
135	362	2302
136	363	2290
137	364	2279
138	366	2270
139	368	2263
140	370	2256
141	373	2254
142	377	2260
143	381	2270
144	384	2266
145	400	2344
146	406	2357
147	409	2354
148	410	2345
149	411	2334
150	413	2323
151	415	2318
152	417	2310
153	419	2302
154	420	2292
155	422	2285
156	424	2276
157	425	2268
158	427	2259
159	428	2249
160	430	2241
161	431	2233
162	434	2229
163	435	2220
164	437	2213
165	439	2206
166	440	2197
167	442	2189
168	443	2181
169	445	2172
170	446	2165
171	449	2162
172	450	2154
173	452	2146
174	453	2139
175	455	2133
176	457	2125
177	459	2120
178	461	2115
179	462	2109
180	464	2101
181	465	2092
182	467	2085
183	468	2077
184	470	2070
185	471	2063
186	472	2055
187	474	2051
188	476	2046
189	478	2040
190	479	2032
191	481	2026
192	482	2016
193	484	2013
194	485	2005
195	487	1999
196	489	1995
197	491	1989
198	492	1982
199	494	1976
200	495	1970
201	497	1964
202	498	1957
203	500	1953
204	502	1950
205	505	1947
206	507	1942
207	508	1936
208	510	1932
209	512	1927
210	514	1924
211	517	1923
212	522	1930
213	524	1926
214	526	1922
215	530	1925
216	532	1921
217	534	1918
218	536	1913
219	537	1907
220	539	1901
221	541	1896
222	543	1892
223	544	1887
224	547	1884
225	549	1882
226	552	1880
227	556	1882
228	557	1878
229	559	1873
230	561	1870
231	564	1869
232	566	1866
233	569	1862
234	570	1857
235	572	1854
236	574	1850
237	576	1847
238	578	1843
239	582	1843
240	585	1843
241	588	1842
242	590	1838
243	591	1832
244	593	1828
245	594	1823
246	597	1822
247	599	1817
248	600	1812
249	602	1807
250	604	1802
251	605	1798
252	607	1792
253	608	1788
254	613	1791
255	615	1788
256	617	1784
257	619	1782
